Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent
"L# (SepSeq, SepSeq)",81,"(W, 1, 8)",W,1,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46']","['1/2', '27/81', '149/572', '1452/5928']","[1, 2, 3, 4]",338048,60,153,1629,6583,4,4,NOK
"L# (SepSeq, SepSeq)",81,"(HadsInt, 2, 8)",HadsInt,2,8,Y,Volksbank_learnresult_MAESTRO_fix.dot,7,14,Compressed,"['14/14', '19/52', '40/147', '80/408', '70/380']","['51/102', '1280/5224', '2659/14583', '1678/11591']","[1, 2, 3, 5]",778768,223,1001,5668,31500,5,28,OK
"L# (SepSeq, SepSeq)",81,"(W, 2, 8)",W,2,8,Y,RSA_BSAFE_C_4.0.4_server_regular.dot,9,8,Compressed,"['8/8', '23/62', '46/248', '11/32', '13/39']","['1/2', '299/1495', '4438/30637', '4097/24516']","[1, 3, 7, 8]",1467744,101,389,8835,56650,5,21,OK
"L# (SepSeq, SepSeq)",81,"(Wp, 1, 8)",Wp,1,8,Y,GnuTLS_3.3.12_server_regular.dot,7,8,Compressed,"['8/8', '15/38', '18/61', '9/35', '16/88']","['1/2', '1/3', '28/112', '101/492']","[1, 2, 4, 5]",80548,66,230,131,609,5,5,OK
"L# (SepSeq, SepSeq)",81,"(W, 2, 8)",W,2,8,Y,4_learnresult_MAESTRO_fix.dot,6,14,Compressed,"['14/14', '47/178', '57/264', '29/143']","['9/18', '2605/11906', '2852/13388']","[1, 4, 5]",1399900,147,599,5466,25312,4,28,OK
"L# (SepSeq, SepSeq)",81,"(HadsInt, 2, 8)",HadsInt,2,8,Y,TCP_Windows8_Server.dot,38,13,Compressed,"['13/13', '82/342', '66/318', '42/224', '60/392', '77/516', '49/330', '57/347', '61/420', '89/626', '99/1071', '59/507', '52/406', '50/424', '65/610', '71/641', '219/1856', '66/510', '75/643', '54/489', '64/502', '59/500', '66/599', '80/706', '122/740', '79/783', '184/2136', '88/971']","['98/196', '157/927', '2204/15720', '619/4080', '637/6412', '1824/15516', '1956/19490', '1977/21419', '3962/45669', '343/4043', '5809/63763', '4805/47990', '267/2717', '85/750', '1718/22424', '212/2937', '4648/55786', '521/4824', '3014/45089', '25/239', '300/3561', '7830/117315', '327/3657', '2836/45088', '28440/447557', '2502/28805', '40217/643682']","[1, 5, 6, 7, 8, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37]",26544472,2148,17622,117333,1669656,28,4079,OK
"L# (SepSeq, SepSeq)",81,"(HadsInt, 2, 8)",HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9]",749800,108,510,3214,21687,8,81,OK
"L# (SepSeq, SepSeq)",81,"(Wp, 2, 8)",Wp,2,8,Y,GnuTLS_3.3.8_client_full.dot,15,12,Compressed,"['12/12', '23/58', '18/51', '17/65', '25/93', '23/116', '23/116', '27/176', '7/46', '7/46', '5/37']","['1/2', '171/684', '342/1579', '3650/19486', '5389/33207', '116/758', '1850/14333', '23/127', '262/1513', '1536/13239']","[1, 2, 3, 4, 6, 7, 8, 10, 12, 14]",2967660,187,816,13340,84928,11,111,OK
"L# (SepSeq, SepSeq)",81,"(Hsi, 2, 8)",Hsi,2,8,Y,GnuTLS_3.3.8_client_full.dot,15,12,Compressed,"['12/12', '23/58', '18/51', '17/65', '25/93', '23/115', '23/116', '27/176', '8/60', '8/59', '5/37']","['1/2', '171/684', '500/2227', '3635/19434', '1008/5321', '196/1133', '1667/11473', '93/543', '3/15', '1807/10242']","[1, 2, 3, 4, 6, 7, 8, 10, 12, 14]",1519212,189,842,9081,51074,11,139,OK
"L# (SepSeq, SepSeq)",81,"(HadsInt, 1, 8)",HadsInt,1,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/68', '6/24', '13/65', '9/54', '13/39']","['4/8', '1/4', '20/84', '34/174', '16/94', '136/785']","[1, 2, 3, 4, 5, 6]",81392,79,284,211,1149,7,21,OK
