Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent
"L# (SepSeq, SepSeq)",81,"(SouchaSPYH, 1, 1)",SouchaSPYH,1,1,Y,OpenSSL_1.0.1l_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '11/44', '16/79', '15/89']","['7/14', '1/3', '103/377', '103/441', '82/492']","[1, 2, 3, 4, 5]",84712,78,301,296,1327,6,12,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPY, 2, 1)",SouchaSPY,2,1,Y,4_learnresult_SecureCode Aut_fix.dot,4,14,Compressed,"['14/14', '33/108', '33/153']","['9/18', '959/4697']","[1, 3]",188820,80,275,968,4715,3,87,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPY, 2, 1)",SouchaSPY,2,1,Y,DropBear.dot,17,13,Compressed,"['13/13', '25/63', '132/619', '81/331', '30/119', '46/265', '79/580', '40/319', '42/331', '44/351', '50/442', '41/368']","['1/2', '5/20', '41/164', '7710/38415', '9380/53987', '3409/24326', '12936/105192', '382/2632', '97/870', '4752/43716', '1962/19620']","[1, 2, 7, 8, 9, 10, 12, 13, 14, 15, 16]",6116212,623,3801,40675,288944,12,7310,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPYH, 2, 1)",SouchaSPYH,2,1,Y,GnuTLS_3.3.8_server_full.dot,16,11,Compressed,"['11/11', '21/53', '19/54', '54/226', '33/172', '5/24', '6/30', '12/72', '14/84', '11/62', '4/21', '4/25', '4/22']","['1/2', '14/56', '415/1660', '3335/17027', '429/2552', '660/3959', '2719/17798', '375/2621', '1682/12119', '2/10', '240/1423', '1368/8323']","[1, 2, 3, 6, 8, 9, 10, 11, 12, 13, 14, 15]",1635460,198,856,11240,67550,13,906,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPY, 2, 1)",SouchaSPY,2,1,Y,GnuTLS_3.3.8_client_full.dot,15,12,Compressed,"['12/12', '23/58', '12/35', '24/94', '20/80', '20/99', '21/106', '34/222', '12/76', '6/40', '3/23']","['1/2', '514/2056', '159/636', '575/2875', '4636/25073', '86/516', '2584/16958', '3974/30400', '3223/24173', '8802/63555']","[1, 2, 3, 5, 6, 7, 8, 10, 12, 14]",3345736,187,845,24554,166244,11,878,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPYH, 2, 1)",SouchaSPYH,2,1,Y,TCP_Linux_Server.dot,57,12,Compressed,"['12/12', '17/46', '32/110', '75/343', '22/125', '169/1301', '165/1031', '58/438', '35/258', '50/271', '47/426', '52/381', '42/312', '51/485', '48/397', '50/412', '49/416', '51/519', '53/444', '168/1428', '59/592', '181/1739', '52/489', '115/1304', '66/650', '49/505', '75/760', '53/533', '27/284', '60/652', '56/511', '71/733', '75/905', '242/3129', '68/910', '63/864', '72/1059']","['91/182', '85/340', '2229/11757', '3585/18492', '375/2598', '1942/11201', '12/64', '3881/25384', '1/7', '7825/57217', '1064/8501', '290/2312', '1075/8599', '14780/115179', '4144/33994', '783/6169', '2220/19973', '5306/46992', '921/8236', '13684/117002', '1212/10835', '6611/61324', '1438/13564', '3958/34923', '11970/118689', '17138/179357', '3326/36403', '8251/90619', '6919/77506', '10548/122896', '13687/159498', '32803/417612', '12101/143422', '38801/481607', '31619/384767', '13086/196297']","[1, 2, 3, 6, 7, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 33, 34, 37, 38, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 54, 55, 56]",50098648,2630,24774,277761,3023518,37,5249179,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPYH, 2, 1)",SouchaSPYH,2,1,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '20/77', '17/68', '18/89', '22/110', '15/89']","['1/2', '51/204', '1237/4948', '1827/9133', '4652/25054', '91/546', '2083/13421']","[1, 2, 3, 5, 6, 7, 8]",1554524,143,549,9942,53308,8,316,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPY, 2, 1)",SouchaSPY,2,1,Y,NSS_3.17.4_client_regular.dot,7,8,Compressed,"['8/8', '15/38', '3/9', '2/8', '8/40', '14/92']","['1/2', '376/1667', '382/1910', '558/3220', '204/1364']","[1, 2, 3, 4, 5]",223052,50,195,1521,8163,6,59,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPYH, 1, 1)",SouchaSPYH,1,1,Y,OpenSSL_1.0.2_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '11/44', '16/79', '15/89']","['7/14', '1/3', '103/377', '103/441', '82/492']","[1, 2, 3, 4, 5]",84712,78,301,296,1327,6,11,OK
"L# (SepSeq, SepSeq)",81,"(SouchaSPY, 1, 1)",SouchaSPY,1,1,Y,learnresult_fix.dot,9,15,Compressed,"['15/15', '51/192', '46/200', '83/531', '27/133', '56/240']","['9/18', '52/211', '413/2930', '240/1738', '1124/10149']","[1, 4, 5, 7, 8]",404244,278,1311,1838,15046,6,88,OK
